,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
7723,35226481.0,Casai Art Deco & Modern Apt with Rooftop in Condesa!,236301634,Casai Mexico,CuauhtÃ©moc,19.40976,-99.17773,Entire home/apt,1840.0,1.0,132.0,18/06/2022,3.57,87.0,238.0,50.0
7724,35226780.0,LITTLE COYOACAN,142650467,Gabriela,Benito JuÃ¡rez,19.35852,-99.14164,Entire home/apt,820.0,2.0,138.0,15/06/2022,3.8,3.0,316.0,54.0
7725,35229053.0,"Casa de Valentina,  suite 1",74107434,Bertha,CuauhtÃ©moc,19.42984,-99.1721,Entire home/apt,909.0,2.0,81.0,02/06/2022,2.23,2.0,338.0,34.0
7726,35229860.0,GREAT MODERN-SUNNY PH LUXE,261857354,Mr. W,CuauhtÃ©moc,19.42483,-99.1693,Entire home/apt,3231.0,1.0,57.0,16/05/2022,1.61,44.0,0.0,32.0
7727,35231450.0,3 BR APT AMAZING VIEWS IN THE HEART OF CONDESA,138360019,Ana,CuauhtÃ©moc,19.41016,-99.17487,Entire home/apt,3200.0,3.0,59.0,19/06/2022,1.61,1.0,21.0,29.0
7728,35231761.0,JUUB Cozy apt at the Heart of Polanco (R4),267983259,Marco,Miguel Hidalgo,19.44354,-99.20801,Entire home/apt,1278.0,2.0,8.0,11/12/2021,0.23,29.0,340.0,3.0
7729,35231763.0,JUUB  Studio in Polanco District (R1),267983259,Marco,Miguel Hidalgo,19.44543,-99.20708,Entire home/apt,947.0,2.0,8.0,21/04/2022,0.24,29.0,350.0,3.0
7730,35232830.0,HabitaciÃ³n Doble Tipo Hostal en Casa Eufemia,262986020,Sara Y Oscar,CuauhtÃ©moc,19.42663,-99.14002,Shared room,263.0,1.0,9.0,21/05/2022,0.25,13.0,0.0,1.0
7731,35237493.0,Brand New & Beautiful Apartment in Coyoacan,4274771,Abigail,CoyoacÃ¡n,19.35771,-99.15667,Entire home/apt,1179.0,4.0,42.0,09/06/2022,1.14,1.0,145.0,22.0
7732,35237596.0,"Disfruta conciertos, F1, Beis y ven de vacaciones",265033621,Luis Alonso,Venustiano Carranza,19.41201,-99.09339,Private room,499.0,1.0,34.0,11/06/2022,1.03,1.0,151.0,23.0
7733,35240912.0,Tranquilos departamentos para estudiantes,265103872,Norma,Azcapotzalco,19.49764,-99.18717,Shared room,200.0,30.0,0.0,31/12/2022,1.5860325810283387,1.0,365.0,0.0
7734,35256381.0,New Beautiful Suite Nuevo Polanco,267983259,Marco,Miguel Hidalgo,19.44399,-99.20655,Entire home/apt,943.0,2.0,23.0,03/05/2022,0.64,29.0,346.0,9.0
7735,35258577.0,Cozy apartment in La ROMA,63168614,Andrea,CuauhtÃ©moc,19.40119,-99.16916,Entire home/apt,950.0,1.0,25.0,04/11/2021,0.69,1.0,332.0,4.0
7736,35261288.0,COLORES DE LA CONDESA,265454205,Victor,CuauhtÃ©moc,19.41166,-99.17268,Entire home/apt,1615.0,1.0,198.0,19/06/2022,5.34,1.0,310.0,82.0
